dataset,distribution,n_placements,mean,sd,range,best,n_optima,swap_edges,rho_swap,fdc
cifar10-valid,2;2;2;0;0,90,86.34271111149087,0.9754145706486805,3.9426666809082036,88.22800001342773,1,1080,0.12233901153126352,-0.25613583392570055
cifar10-valid,2;3;0;0;1,60,78.85839999479846,4.0176055666524295,13.782666661783864,84.4959999975586,1,660,0.20312477043932098,-0.4066029475674238
cifar10-valid,2;3;0;1;0,60,87.36018888441298,2.4560324069245456,6.77733330729167,89.24266665364583,1,660,0.18691357779719206,-0.10992683416955869
cifar10-valid,2;3;1;0;0,60,85.78911111017524,1.462701957744816,4.599333342285149,87.11333333984375,1,660,0.14765726843842059,-0.0990546994790151
cifar10-valid,2;4;0;0;0,15,83.03279998725044,0.9368598534082343,2.320000020345063,84.44133333658856,1,120,0.05798788759144075,-0.6724323665778338
cifar10-valid,3;0;0;0;3,20,58.762866666244506,21.024756620349283,62.361999995422366,72.07399999511719,1,180,0.047137278844193796,-0.007893833906795036
cifar10-valid,3;0;0;1;2,60,67.44596666585116,25.39305813842172,79.12999999491375,88.84199999511719,1,660,0.20766366666666067,-0.034701171158962596
cifar10-valid,3;0;0;2;1,60,72.9041222187195,27.105420823095095,79.47466665395099,89.18666665283202,1,660,0.19502432655551333,-0.10800859520390577
cifar10-valid,3;0;0;3;0,20,76.32693333147431,28.00556485714793,79.81599999760945,89.52799999633788,1,180,0.009492251248687517,-0.3270522239683922
cifar10-valid,3;0;1;0;2,60,65.98972221859742,24.542329301777897,76.88999999623617,86.6019999963379,1,660,0.21375470215736309,-0.23844530048659884
cifar10-valid,3;0;1;1;1,120,72.18082221927897,26.804986224229417,79.15400000396728,88.86600000244141,1,1440,0.26380759993372943,-0.26914932488573334
cifar10-valid,3;0;1;2;0,60,76.02623332725186,27.879487602624547,80.01799998118084,89.72999998046876,1,660,0.1867417796475559,-0.1714604271065579
