perm,fitness
"[3, 1, 2, 5, 4, 0]",0.9375
"[3, 1, 4, 0, 2, 5]",0.90625
"[3, 1, 4, 0, 5, 2]",0.90625
"[3, 1, 4, 2, 0, 5]",0.875
"[3, 1, 4, 2, 5, 0]",0.90625
"[3, 1, 4, 5, 0, 2]",0.90625
"[3, 1, 4, 5, 2, 0]",0.9375
"[3, 1, 5, 0, 2, 4]",0.9375
"[3, 1, 5, 0, 4, 2]",0.9375
"[3, 1, 5, 2, 0, 4]",0.9375
"[3, 1, 5, 2, 4, 0]",0.90625
"[3, 1, 5, 4, 0, 2]",0.96875
"[3, 1, 5, 4, 2, 0]",0.9375
"[3, 2, 0, 1, 4, 5]",0.875
"[3, 2, 0, 1, 5, 4]",0.875
"[3, 2, 0, 4, 1, 5]",0.875
"[3, 2, 0, 4, 5, 1]",0.8125
"[3, 2, 0, 5, 1, 4]",0.9375
"[3, 2, 0, 5, 4, 1]",0.84375
"[3, 2, 1, 0, 4, 5]",0.78125
"[3, 2, 1, 0, 5, 4]",0.84375
"[3, 2, 1, 4, 0, 5]",0.84375
"[3, 2, 1, 4, 5, 0]",0.90625
"[3, 2, 1, 5, 0, 4]",0.9375
"[3, 2, 1, 5, 4, 0]",0.96875
"[3, 2, 4, 0, 1, 5]",0.84375
"[3, 2, 4, 0, 5, 1]",0.9375
"[3, 2, 4, 1, 0, 5]",0.875
"[3, 2, 4, 1, 5, 0]",0.84375
"[3, 2, 4, 5, 0, 1]",0.90625
"[3, 2, 4, 5, 1, 0]",0.875
"[3, 2, 5, 0, 1, 4]",0.96875
"[3, 2, 5, 0, 4, 1]",0.96875
"[3, 2, 5, 1, 0, 4]",0.96875
"[3, 2, 5, 1, 4, 0]",0.875
"[3, 2, 5, 4, 0, 1]",0.90625
"[3, 2, 5, 4, 1, 0]",0.9375
"[3, 4, 0, 1, 2, 5]",0.875
"[3, 4, 0, 1, 5, 2]",0.90625
"[3, 4, 0, 2, 1, 5]",0.875
"[3, 4, 0, 2, 5, 1]",0.875
"[3, 4, 0, 5, 1, 2]",0.96875
"[3, 4, 0, 5, 2, 1]",0.875
"[3, 4, 1, 0, 2, 5]",0.875
"[3, 4, 1, 0, 5, 2]",0.875
"[3, 4, 1, 2, 0, 5]",0.875
"[3, 4, 1, 2, 5, 0]",0.8125
"[3, 4, 1, 5, 0, 2]",0.875
"[3, 4, 1, 5, 2, 0]",0.90625
"[3, 4, 2, 0, 1, 5]",0.84375
"[3, 4, 2, 0, 5, 1]",0.875
"[3, 4, 2, 1, 0, 5]",0.875
"[3, 4, 2, 1, 5, 0]",0.875
"[3, 4, 2, 5, 0, 1]",0.9375
"[3, 4, 2, 5, 1, 0]",0.90625
"[3, 4, 5, 0, 1, 2]",0.9375
"[3, 4, 5, 0, 2, 1]",0.875
"[3, 4, 5, 1, 0, 2]",0.90625
"[3, 4, 5, 1, 2, 0]",0.875
"[3, 4, 5, 2, 0, 1]",0.90625
"[3, 4, 5, 2, 1, 0]",0.84375
"[3, 5, 0, 1, 2, 4]",0.9375
"[3, 5, 0, 1, 4, 2]",0.96875
"[3, 5, 0, 2, 1, 4]",0.96875
"[3, 5, 0, 2, 4, 1]",0.90625
"[3, 5, 0, 4, 1, 2]",0.96875
"[3, 5, 0, 4, 2, 1]",0.9375
"[3, 5, 1, 0, 2, 4]",0.96875
"[3, 5, 1, 0, 4, 2]",0.96875
"[3, 5, 1, 2, 0, 4]",0.9375
"[3, 5, 1, 2, 4, 0]",0.96875
"[3, 5, 1, 4, 0, 2]",0.96875
"[3, 5, 1, 4, 2, 0]",0.9375
"[3, 5, 2, 0, 1, 4]",0.9375
"[3, 5, 2, 0, 4, 1]",0.9375
"[3, 5, 2, 1, 0, 4]",0.96875
"[3, 5, 2, 1, 4, 0]",0.90625
"[3, 5, 2, 4, 0, 1]",0.96875
"[3, 5, 2, 4, 1, 0]",0.9375
"[3, 5, 4, 0, 1, 2]",0.96875
"[3, 5, 4, 0, 2, 1]",0.96875
"[3, 5, 4, 1, 0, 2]",0.9375
"[3, 5, 4, 1, 2, 0]",0.9375
"[3, 5, 4, 2, 0, 1]",0.96875
"[3, 5, 4, 2, 1, 0]",0.9375
"[4, 0, 1, 2, 3, 5]",0.90625
"[4, 0, 1, 2, 5, 3]",0.78125
"[4, 0, 1, 3, 2, 5]",0.875
"[4, 0, 1, 3, 5, 2]",0.96875
"[4, 0, 1, 5, 2, 3]",0.75
"[4, 0, 1, 5, 3, 2]",0.28125
"[4, 0, 2, 1, 3, 5]",0.875
"[4, 0, 2, 1, 5, 3]",0.875
"[4, 0, 2, 3, 1, 5]",0.9375
"[4, 0, 2, 3, 5, 1]",0.90625
"[4, 0, 2, 5, 1, 3]",0.71875
"[4, 0, 2, 5, 3, 1]",0.125
"[4, 0, 3, 1, 2, 5]",0.84375
"[4, 0, 3, 1, 5, 2]",0.90625
"[4, 0, 3, 2, 1, 5]",0.875
"[4, 0, 3, 2, 5, 1]",0.875
"[4, 0, 3, 5, 1, 2]",0.9375
"[4, 0, 3, 5, 2, 1]",0.96875
"[4, 0, 5, 1, 2, 3]",0.875
"[4, 0, 5, 1, 3, 2]",0.6875
"[4, 0, 5, 2, 1, 3]",0.90625
"[4, 0, 5, 2, 3, 1]",0.625
"[4, 0, 5, 3, 1, 2]",0.375
"[4, 0, 5, 3, 2, 1]",0.5625
"[4, 1, 0, 2, 3, 5]",0.875
"[4, 1, 0, 2, 5, 3]",0.78125
"[4, 1, 0, 3, 2, 5]",0.875
"[4, 1, 0, 3, 5, 2]",0.875
"[4, 1, 0, 5, 2, 3]",0.78125
"[4, 1, 0, 5, 3, 2]",0.0625
"[4, 1, 2, 0, 3, 5]",0.84375
"[4, 1, 2, 0, 5, 3]",0.84375
"[4, 1, 2, 3, 0, 5]",0.875
"[4, 1, 2, 3, 5, 0]",0.875
"[4, 1, 2, 5, 0, 3]",0.59375
"[4, 1, 2, 5, 3, 0]",0.84375
"[4, 1, 3, 0, 2, 5]",0.84375
"[4, 1, 3, 0, 5, 2]",0.875
"[4, 1, 3, 2, 0, 5]",0.8125
"[4, 1, 3, 2, 5, 0]",0.875
"[4, 1, 3, 5, 0, 2]",0.875
"[4, 1, 3, 5, 2, 0]",0.90625
"[4, 1, 5, 0, 2, 3]",0.75
