landscape,family,n,method,seed,budget,evaluated,hit,best,optimum,regret,auc,best_at_15,best_at_25,best_at_50,best_at_100,best_at_200,hit_by_15,hit_by_25,hit_by_50,hit_by_100,hit_by_200
adjacency_n7,synthetic,7,eda_precedence,1,200,200,22,1.0,1.0,0.0,0.9525,0.5,1.0,1.0,1.0,1.0,0,1,1,1,1
adjacency_n7,synthetic,7,eda_precedence,2,200,200,,0.83333333,1.0,0.16666667,0.7525,0.66666667,0.66666667,0.66666667,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,3,200,200,71,1.0,1.0,0.0,0.92,0.66666667,0.83333333,0.83333333,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,eda_precedence,4,200,200,,0.83333333,1.0,0.16666667,0.7675,0.66666667,0.66666667,0.66666667,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,5,200,200,,0.83333333,1.0,0.16666667,0.81,0.66666667,0.83333333,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,6,200,200,,0.83333333,1.0,0.16666667,0.67916667,0.66666667,0.66666667,0.66666667,0.66666667,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,7,200,200,32,1.0,1.0,0.0,0.93416667,0.66666667,0.66666667,1.0,1.0,1.0,0,0,1,1,1
adjacency_n7,synthetic,7,eda_precedence,8,200,200,,0.83333333,1.0,0.16666667,0.70583333,0.5,0.66666667,0.66666667,0.66666667,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,9,200,200,123,1.0,1.0,0.0,0.79,0.66666667,0.66666667,0.66666667,0.66666667,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,eda_precedence,10,200,200,,0.66666667,1.0,0.33333333,0.6475,0.5,0.66666667,0.66666667,0.66666667,0.66666667,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,11,200,200,,0.83333333,1.0,0.16666667,0.71333333,0.66666667,0.66666667,0.66666667,0.66666667,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,12,200,200,137,1.0,1.0,0.0,0.86166667,0.66666667,0.83333333,0.83333333,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,eda_precedence,13,200,200,,0.83333333,1.0,0.16666667,0.71833333,0.66666667,0.66666667,0.66666667,0.66666667,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,14,200,200,,0.83333333,1.0,0.16666667,0.79416667,0.66666667,0.66666667,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,15,200,200,,0.83333333,1.0,0.16666667,0.82833333,0.83333333,0.83333333,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,16,200,200,,0.83333333,1.0,0.16666667,0.75083333,0.5,0.5,0.66666667,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,17,200,200,,0.83333333,1.0,0.16666667,0.64416667,0.5,0.5,0.66666667,0.66666667,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,18,200,200,,0.83333333,1.0,0.16666667,0.785,0.5,0.83333333,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,19,200,200,,0.83333333,1.0,0.16666667,0.805,0.66666667,0.83333333,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,20,200,200,,0.83333333,1.0,0.16666667,0.78666667,0.66666667,0.66666667,0.66666667,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,21,200,200,,0.83333333,1.0,0.16666667,0.78416667,0.5,0.5,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,22,200,200,65,1.0,1.0,0.0,0.89833333,0.66666667,0.66666667,0.83333333,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,eda_precedence,23,200,200,,0.83333333,1.0,0.16666667,0.73416667,0.66666667,0.66666667,0.66666667,0.66666667,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,24,200,200,,0.83333333,1.0,0.16666667,0.78,0.5,0.66666667,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,25,200,200,,0.83333333,1.0,0.16666667,0.7375,0.5,0.66666667,0.66666667,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,26,200,200,,0.83333333,1.0,0.16666667,0.7775,0.66666667,0.66666667,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,27,200,200,61,1.0,1.0,0.0,0.93583333,0.83333333,0.83333333,0.83333333,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,eda_precedence,28,200,200,,0.83333333,1.0,0.16666667,0.8,0.66666667,0.66666667,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,29,200,200,,0.66666667,1.0,0.33333333,0.6125,0.5,0.5,0.5,0.66666667,0.66666667,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,30,200,200,18,1.0,1.0,0.0,0.96083333,0.66666667,1.0,1.0,1.0,1.0,0,1,1,1,1
adjacency_n7,synthetic,7,eda_precedence,31,200,200,,0.83333333,1.0,0.16666667,0.80666667,0.5,0.83333333,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,32,200,200,,0.66666667,1.0,0.33333333,0.61583333,0.33333333,0.5,0.66666667,0.66666667,0.66666667,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,33,200,200,,0.83333333,1.0,0.16666667,0.73,0.5,0.66666667,0.66666667,0.66666667,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,34,200,200,,0.83333333,1.0,0.16666667,0.68416667,0.5,0.5,0.5,0.66666667,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,eda_precedence,35,200,200,,0.66666667,1.0,0.33333333,0.63583333,0.5,0.5,0.66666667,0.66666667,0.66666667,0,0,0,0,0
